0125199e55cacd0adf9e44f5dde9eda9cebd3eba5123793295501c72ae94f4f2,15
0274c8324db29bcec000066bad309de788c1f1e5703988df9f597ccda299c6cc,2
0355ed17410b24f20b0710045d35b523a7498ab643cda922a45ea0e60b440d1d,6
05a80ba4525cf83c654aa8eb4290b0272ba71ad4339444de15f92097f7d49250,6
05bd363a72357e619988681483beb1d2836dfa7d78c519a02843c4072acd32c3,19
0636a7969dbd507c72af697778f17ff70ee22bb3a2c3141ab0000d38c0981254,7
07b18dc2601c3373351fe23985ae95005386a35ee48c1d35fb3e3b5809f90225,9
094c4ce72cf072392027128a9844c04ef76172a8ba1419d88c002ebe3a2880b0,4
0deed962e62f9527681bc222331f0df2559f1086bd212ec50fe05296b44e382a,4
0ea38aa626c1a7473e15b8adc663f708d0df543bfe07cfffdaa37c007898858a,2
1054ff997d927848af68ab4968d0d7be8f792b1ec50ab6b6b0cfa925177d8ccb,2
11c092036f3a3b366d30f9ecdd1e69c93706056ffb62d97200e6d861e56fbad7,1
12cb601995c1125dd2378283fadb35188b00496697f65ad9fed131f263912266,9
155921eed1095731220a7a68e2af61f3d7def72655f770df802de7ba10dd40af,2
1a7b4a1592fa75d648ef60d6f2415d6824db0c9d8cfb1e8181b0d88d1420961e,1
1b0016eb16c48b8e26cb75d1ccf6ab19d6d112a89494318864e2db8e4213a48d,11
1bfb08cd02780c5de8aa4cdb4962b376e33f7039d4ef0f76b319d36c43764aec,6
1c780c727617478714e3d1e4cfe6354ea919d93dec3460e12baf2c5a4a489f1c,1
20ae358a8594dfee9163227ba82b38213b6fcab8258193f391d706dfe9104ac4,2
22cf5f272d13e6439eabd06000bf0c8481170f101733b71fa3b6a9441dd8055f,2
253da3402113ed2350ccbefdd6070b92010e101ec3373e35934ee5994e92fa49,1
2626bc4589213119ffcbe9d1f2ffe151bb4691eb618763ce55b6dd644d6cd4c0,2
27871d1a0371a2ba9a4d3934225c1852ef4bb7648c17c1c6457475e341a752cd,3
27e7d4d67491c9552a9b7926731d3dedda4d4b9771cfe212c0edc75c8922fb54,1
28418c20ab6e4fb0dc56b3334f899112a1e173d7995725a79418c5ec80e365d6,11
